,기간,자치구,공교육 만족도,사교육 만족도,사교육 수준 만족도,사교육 비용만족도,사교육 접근성 만족도
0,2013,종로구,5.21,3.9,4.2,2.86,4.63
1,2013,중구,5.95,5.1,5.07,4.3,5.94
2,2013,용산구,5.26,4.06,3.99,3.39,4.8
3,2013,성동구,5.32,4.64,4.82,3.96,5.15
4,2013,광진구,6.26,5.1,5.43,4.55,5.31
5,2013,동대문구,5.15,4.68,5.16,4.14,4.74
6,2013,중랑구,5.64,4.59,4.69,3.95,5.13
7,2013,성북구,6.56,5.44,5.51,4.52,6.3
8,2013,강북구,5.76,4.61,5.17,3.53,5.12
9,2013,도봉구,5.72,4.58,4.86,2.82,6.06
10,2013,노원구,5.11,4.8,5.15,3.27,5.98
11,2013,은평구,6.4,4.85,5.26,3.65,5.65
12,2013,서대문구,5.81,4.48,4.69,3.31,5.44
13,2013,마포구,5.58,4.7,5.62,3.28,5.2
14,2013,양천구,5.88,4.21,4.46,3.02,5.15
15,2013,강서구,5.9,4.65,4.84,3.84,5.27
16,2013,구로구,4.43,3.62,3.53,3.41,3.93
17,2013,금천구,5.92,4.75,4.69,4.19,5.37
18,2013,영등포구,5.83,4.59,5.18,3.31,5.29
19,2013,동작구,6.22,5.73,5.95,5.08,6.15
20,2013,관악구,5.63,4.51,4.73,3.49,5.32
21,2013,서초구,6.43,6.71,7.01,5.92,7.2
22,2013,강남구,6.05,5.77,6.08,4.57,6.66
23,2013,송파구,5.49,4.79,4.8,4.35,5.21
24,2013,강동구,5.41,4.45,4.92,3.24,5.18
25,2014,종로구,6.02,5.27,6.02,3.66,6.14
26,2014,중구,5.5,4.25,4.61,3.55,4.59
27,2014,용산구,5.44,4.8,5.65,3.43,5.32
28,2014,성동구,5.41,4.61,5.04,3.86,4.94
29,2014,광진구,5.68,5.03,5.3,4.32,5.47
30,2014,동대문구,5.23,4.61,4.96,3.46,5.42
31,2014,중랑구,6.27,5.08,5.33,4.57,5.35
32,2014,성북구,5.5,4.75,5.19,3.57,5.48
33,2014,강북구,5.59,4.75,5.05,4.04,5.15
