,rank,name,birth,team,year,gp,cg,sho,gs,win,loss,save,hold,inning,runs,earned_run,batter_faced,hits,base2,base3,home_run,walk,intentional_walk,hb,so,balk,wild,ERA,FIP,WHIP,ERAplus,FIPplus,WAR,WPA,relief_WAR
0,1.0,선동열,1963-01-10,Haitai Tigers,1986,39.0,19.0,8.0,22.0,24.0,6.0,6.0,0.0,262.2,38.0,29.0,972.0,153.0,0.0,0.0,2.0,52.0,5.0,7.0,214.0,2.0,3.0,0.99,1.16,0.78,307.1,262.7,14.89,0.0,6.18
1,2.0,장명부,1950-12-27,Samsung Lions,1983,60.0,36.0,5.0,44.0,30.0,16.0,6.0,0.0,427.1,138.0,111.0,1712.0,388.0,0.0,0.0,19.0,106.0,6.0,16.0,220.0,1.0,6.0,2.34,2.42,1.16,143.4,138.5,13.63,0.0,5.68
2,3.0,선동열,1963-01-10,Haitai Tigers,1988,31.0,9.0,1.0,12.0,16.0,5.0,10.0,0.0,178.1,29.0,24.0,674.0,116.0,0.0,0.0,3.0,35.0,0.0,7.0,200.0,1.0,0.0,1.21,1.26,0.85,316.2,303.8,11.79,0.0,4.89
3,4.0,최동원,1958-05-24,Lotte Giants,1986,39.0,17.0,4.0,21.0,19.0,14.0,2.0,0.0,267.0,60.0,46.0,1039.0,204.0,0.0,0.0,7.0,55.0,5.0,6.0,208.0,0.0,2.0,1.55,1.49,0.97,191.8,200.0,11.74,0.0,4.64
4,5.0,김시진,1958-03-20,Samsung Lions,1985,47.0,10.0,2.0,29.0,25.0,5.0,10.0,0.0,269.2,63.0,60.0,1064.0,172.0,0.0,0.0,8.0,121.0,3.0,15.0,201.0,1.0,10.0,2.0,2.59,1.09,177.3,137.0,10.52,0.0,3.97
5,6.0,최동원,1958-05-24,Lotte Giants,1985,42.0,14.0,4.0,17.0,20.0,9.0,8.0,0.0,225.0,60.0,48.0,865.0,170.0,0.0,0.0,7.0,41.0,2.0,8.0,161.0,1.0,3.0,1.92,1.82,0.94,177.6,187.7,9.88,0.0,3.85
6,7.0,최동원,1958-05-24,Lotte Giants,1984,51.0,14.0,1.0,20.0,27.0,13.0,6.0,0.0,284.2,91.0,76.0,1132.0,229.0,0.0,0.0,18.0,68.0,1.0,14.0,223.0,0.0,3.0,2.4,2.25,1.04,135.4,144.6,9.72,0.0,3.81
7,8.0,선동열,1963-01-10,Haitai Tigers,1987,31.0,7.0,4.0,11.0,14.0,2.0,6.0,0.0,162.0,21.0,16.0,604.0,89.0,0.0,0.0,2.0,47.0,1.0,3.0,144.0,1.0,1.0,0.89,1.76,0.84,392.4,198.4,9.39,0.0,3.71
8,9.0,김일융,1951-05-11,Samsung Lions,1984,38.0,14.0,3.0,23.0,16.0,10.0,3.0,0.0,222.0,68.0,56.0,907.0,191.0,0.0,0.0,7.0,78.0,4.0,6.0,155.0,1.0,5.0,2.27,2.24,1.21,146.8,149.1,7.44,0.0,3.69
9,10.0,윤학길,1961-07-04,Lotte Giants,1988,35.0,17.0,3.0,25.0,18.0,10.0,3.0,0.0,234.0,89.0,82.0,967.0,241.0,0.0,0.0,9.0,53.0,1.0,3.0,123.0,1.0,7.0,3.15,2.73,1.26,121.4,140.2,7.27,0.0,3.61
10,11.0,한희민,1962-07-19,Binggre Eagles,1987,30.0,14.0,3.0,22.0,13.0,8.0,4.0,0.0,206.0,64.0,54.0,798.0,156.0,0.0,0.0,7.0,44.0,2.0,4.0,116.0,1.0,0.0,2.36,2.45,0.97,155.2,149.3,7.19,0.0,3.02
11,12.0,최동원,1958-05-24,Lotte Giants,1987,32.0,15.0,4.0,22.0,14.0,12.0,2.0,0.0,224.0,80.0,70.0,920.0,218.0,0.0,0.0,6.0,61.0,2.0,7.0,163.0,0.0,3.0,2.81,2.24,1.25,125.6,157.5,7.15,0.0,3.02
12,13.0,김용수,1960-05-02,MBC Blue Dragons,1986,60.0,0.0,0.0,3.0,9.0,9.0,26.0,0.0,178.0,40.0,33.0,694.0,128.0,0.0,0.0,4.0,59.0,7.0,3.0,74.0,0.0,0.0,1.67,2.46,1.05,177.7,120.4,6.92,0.0,2.35
13,14.0,이상윤,1960-12-21,Haitai Tigers,1983,46.0,14.0,3.0,22.0,20.0,10.0,6.0,0.0,229.1,83.0,68.0,944.0,181.0,0.0,0.0,10.0,95.0,0.0,4.0,178.0,0.0,3.0,2.67,2.37,1.2,121.9,137.4,6.79,0.0,2.29
14,15.0,김시진,1958-03-20,Samsung Lions,1983,37.0,17.0,5.0,25.0,17.0,12.0,1.0,0.0,229.1,78.0,65.0,950.0,189.0,0.0,0.0,8.0,95.0,6.0,14.0,154.0,0.0,5.0,2.55,2.52,1.24,131.2,133.0,6.78,0.0,2.28
15,16.0,최일언,1961-07-27,OB Bears,1986,33.0,12.0,6.0,23.0,19.0,4.0,2.0,0.0,221.2,49.0,39.0,881.0,140.0,0.0,0.0,2.0,101.0,3.0,6.0,101.0,0.0,3.0,1.58,2.69,1.09,187.7,110.5,6.75,0.0,2.21
16,17.0,이상군,1962-04-21,Binggre Eagles,1987,33.0,24.0,3.0,27.0,18.0,11.0,2.0,0.0,246.2,83.0,70.0,1006.0,233.0,0.0,0.0,13.0,52.0,1.0,10.0,85.0,2.0,2.0,2.55,3.21,1.16,143.4,114.2,6.51,0.0,2.14
17,18.0,김건우,1963-08-30,MBC Blue Dragons,1986,37.0,9.0,2.0,29.0,18.0,6.0,0.0,0.0,229.1,62.0,46.0,891.0,170.0,0.0,0.0,6.0,62.0,1.0,9.0,102.0,3.0,4.0,1.81,2.44,1.01,164.3,121.5,6.46,0.0,2.1
18,19.0,선동열,1963-01-10,Haitai Tigers,1985,25.0,1.0,0.0,3.0,7.0,4.0,8.0,0.0,111.0,30.0,21.0,424.0,74.0,0.0,0.0,2.0,20.0,4.0,3.0,103.0,0.0,3.0,1.7,1.11,0.85,205.0,314.9,6.4,0.0,2.03
19,20.0,김용수,1960-05-02,MBC Blue Dragons,1987,52.0,0.0,0.0,1.0,9.0,5.0,24.0,0.0,141.0,34.0,31.0,560.0,109.0,0.0,0.0,6.0,36.0,6.0,4.0,71.0,0.0,0.0,1.98,2.74,1.03,174.1,125.9,5.98,0.0,1.94
